ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,defeated_mp,former_mp
S14000062,Aberdeenshire North and Moray East,Scotland,Scotland,County,05-07-2024 04:47,SNP gain from Con,Con,Conservative,,Douglas,Ross,Gordon,4627,Male,Yes,Yes
S14000063,Airdrie and Shotts,Scotland,Scotland,County,05-07-2024 04:04,Lab gain from SNP,SNP,Scottish National Party,,Anum,Qaisar,,4917,Female,Yes,Yes
E14001063,Aldershot,South East,England,Borough,05-07-2024 03:48,Lab gain from Con,Con,Conservative,,Leo,Docherty,,4600,Male,Yes,Yes
S14000064,Alloa and Grangemouth,Scotland,Scotland,County,05-07-2024 04:06,Lab gain from SNP,Alba,Alba Party,,Kenny,MacAskill,Wright,4772,Male,Yes,Yes
S14000064,Alloa and Grangemouth,Scotland,Scotland,County,05-07-2024 04:06,Lab gain from SNP,SNP,Scottish National Party,,John,Nicolson,MacKenzie,4415,Male,Yes,Yes
E14001066,Amber Valley,East Midlands,England,County,05-07-2024 02:53,Lab gain from Con,Con,Conservative,,Nigel,Mills,John,4136,Male,Yes,Yes
E14001069,Ashford,South East,England,County,05-07-2024 04:25,Lab gain from Con,Con,Conservative,,Damian,Green,Howard,76,Male,Yes,Yes
E14001071,Aylesbury,South East,England,County,05-07-2024 05:47,Lab gain from Con,Con,Conservative,,Rob,Butler,,4745,Male,Yes,Yes
S14000107,"Ayr, Carrick and Cumnock",Scotland,Scotland,County,05-07-2024 04:08,Lab gain from SNP,SNP,Scottish National Party,,Allan,Dorans,,4740,Male,Yes,Yes
E14001072,Banbury,South East,England,County,05-07-2024 05:25,Lab gain from Con,Con,Conservative,,Victoria,Prentis,,4401,Female,Yes,Yes
W07000083,Bangor Aberconwy,Wales,Wales,County,05-07-2024 02:45,Lab gain from Con,Con,Conservative,,Robin,Millar,,4746,Male,Yes,Yes
E14001076,Barrow and Furness,North West,England,County,05-07-2024 01:59,Lab gain from Con,Con,Conservative,Mr,Simon,Fell,,4744,Male,Yes,Yes
E14001078,Basingstoke,South East,England,Borough,05-07-2024 04:27,Lab gain from Con,Con,Conservative,Dame,Maria,Miller,Frances Lewis,1480,Female,Yes,Yes
E14001079,Bassetlaw,East Midlands,England,County,05-07-2024 02:59,Lab gain from Con,Con,Conservative,,Brendan,Clarke-Smith,,4756,Male,Yes,Yes
S14000068,Bathgate and Linlithgow,Scotland,Scotland,County,05-07-2024 04:10,Lab gain from SNP,SNP,Scottish National Party,,Martyn,Day,,4488,Male,Yes,Yes
E14001097,Birmingham Northfield,West Midlands,England,Borough,05-07-2024 04:19,Lab gain from Con,Con,Conservative,,Gary,Sambrook,,4760,Male,Yes,Yes
E14001098,Birmingham Perry Barr,West Midlands,England,Borough,05-07-2024 07:19,Ind gain from Lab,Lab,Labour,,Khalid,Mahmood,,1392,Male,Yes,Yes
E14001102,Blackburn,North West,England,Borough,05-07-2024 04:13,Ind gain from Lab,Lab,Labour,Ms,Kate,Hollern,,4363,Female,Yes,Yes
E14001104,Blackpool North and Fleetwood,North West,England,Borough,05-07-2024 03:58,Lab gain from Con,Con,Conservative,Mr,Paul,Maynard,Christopher,3926,Male,Yes,Yes
E14001109,Bolsover,East Midlands,England,County,05-07-2024 02:10,Lab gain from Con,Con,Conservative,,Mark,Fletcher,Peter,4774,Male,Yes,Yes
E14001112,Bolton West,North West,England,County,05-07-2024 02:40,Lab gain from Con,Con,Conservative,Mr,Chris,Green,,4398,Male,Yes,Yes
E14001114,Boston and Skegness,East Midlands,England,County,05-07-2024 03:23,RUK gain from Con,Con,Conservative,,Matt,Warman,,4361,Male,Yes,Yes
E14001115,Bournemouth East,South West,England,Borough,05-07-2024 04:13,Lab gain from Con,Con,Conservative,,Tobias,Ellwood,,1487,Male,Yes,Yes
E14001116,Bournemouth West,South West,England,Borough,05-07-2024 04:11,Lab gain from Con,Con,Conservative,Sir,Conor,Burns,,3922,Male,Yes,Yes
E14001117,Bracknell,South East,England,Borough,05-07-2024 03:38,Lab gain from Con,Con,Conservative,,James,Sunderland,De Ville,4767,Male,Yes,Yes
W07000085,"Brecon, Radnor and Cwm Tawe",Wales,Wales,County,05-07-2024 04:42,LD gain from Con,Con,Conservative,,Fay,Jones,,4763,Female,Yes,Yes
E14001131,Bristol Central,South West,England,Borough,05-07-2024 02:58,Green gain from Lab,Lab,Labour,,Thangam,Debbonaire,Elizabeth Rachel,4433,Female,Yes,Yes
E14001140,Broxtowe,East Midlands,England,County,05-07-2024 02:01,Lab gain from Con,Con,Conservative,,Darren,Henry,George,4794,Male,Yes,Yes
E14001141,Buckingham and Bletchley,South East,England,County,05-07-2024 04:15,Lab gain from Con,Con,Conservative,,Iain,Stewart,,4015,Male,Yes,Yes
E14001142,Burnley,North West,England,County,05-07-2024 03:44,Lab gain from Con,Con,Conservative,Mr,Antony,Higginbotham,,4833,Male,Yes,Yes
E14001143,Burton and Uttoxeter,West Midlands,England,County,05-07-2024 02:24,Lab gain from Con,Con,Conservative,,Kate,Kniveton,Elizabeth,4773,Female,Yes,Yes
E14001144,Bury North,North West,England,Borough,05-07-2024 03:41,Lab gain from Con,Con,Conservative,,James,Daly,Barry,4854,Male,Yes,Yes
W07000087,Caerfyrddin,Wales,Wales,County,05-07-2024 04:16,PC gain from Con,Con,Conservative,,Simon,Hart,Anthony,3944,Male,Yes,Yes
E14001150,Cannock Chase,West Midlands,England,County,05-07-2024 01:30,Lab gain from Con,Con,Conservative,,Amanda,Milling,Anne,4454,Female,Yes,Yes
E14001152,Carlisle,North West,England,County,05-07-2024 02:57,Lab gain from Con,Con,Conservative,Mr,John,Stevenson,,3942,Male,Yes,Yes
E14001153,Carshalton and Wallington,London,England,Borough,05-07-2024 02:22,LD gain from Con,Con,Conservative,,Elliot,Colburn,,4775,Male,Yes,Yes
E14001158,Cheadle,North West,England,Borough,05-07-2024 02:52,LD gain from Con,Con,Conservative,Ms,Mary,Robinson,,4406,Female,Yes,Yes
E14001159,Chelmsford,East of England,England,Borough,05-07-2024 02:33,LD gain from Con,Con,Conservative,,Vicky,Ford,,4674,Female,Yes,Yes
E14001160,Chelsea and Fulham,London,England,Borough,05-07-2024 05:45,Lab gain from Con,Con,Conservative,,Greg,Hands,William,1526,Male,Yes,Yes
E14001161,Cheltenham,South West,England,Borough,05-07-2024 02:08,LD gain from Con,Con,Conservative,,Alex,Chalk,,4481,Male,Yes,Yes
E14001166,Chichester,South East,England,County,05-07-2024 05:39,LD gain from Con,Con,Conservative,,Gillian,Keegan,,4680,Female,Yes,Yes
E14001169,Chipping Barnet,London,England,Borough,05-07-2024 04:44,Lab gain from Con,Con,Conservative,,Theresa,Villiers,Anne,1500,Female,Yes,Yes
E14001174,Clacton,East of England,England,County,05-07-2024 03:05,RUK gain from Con,Con,Conservative,,Giles,Watling,Francis,4677,Male,Yes,Yes
W07000094,Clwyd East,Wales,Wales,County,05-07-2024 03:54,Lab gain from Con,Con,Conservative,Dr,James ,Davies,Michael,4476,Male,Yes,Yes
W07000094,Clwyd East,Wales,Wales,County,05-07-2024 03:54,Lab gain from Con,Ind,Independent,Mr,Rob,Roberts,Joseph,4810,Male,Yes,Yes
S14000070,Coatbridge and Bellshill,Scotland,Scotland,Borough,05-07-2024 04:20,Lab gain from SNP,SNP,Scottish National Party,,Steven,Bonnar,,4748,Male,Yes,Yes
E14001177,Colne Valley,Yorkshire and The Humber,England,County,05-07-2024 05:25,Lab gain from Con,Con,Conservative,,Jason,McCartney,Alexander,3953,Male,Yes,Yes
